Station,12th Street/ Oakland City Center,16th Street/ Mission,19th Street Oakland,24th Street/ Mission,Antioch,Ashby,Balboa Park,Bay Fair,Berryessa/ North San Jose,Castro Valley,Civic Center/ UN Plaza,Coliseum,Colma,Concord,Daly City,Downtown Berkeley,Dublin/ Pleasanton,El Cerrito Del Norte,El Cerrito Plaza,Embarcadero,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery Street,North Berkeley,North Concord/ Martinez,Oakland International Airport,Orinda,Pittsburg Center,Pittsburg/ Bay Point,Pleasant Hill/ Contra Costa Centre,Powell Street,Richmond,Rockridge,San Bruno,San Francisco International Airport,San Leandro,South Hayward,South San Francisco,Union City,Walnut Creek,Warm Springs/ South Fremont,West Dublin/ Pleasanton,West Oakland
Civic Center/UN Plaza,4.05,2.30,4.05,2.30,8.60,4.55,2.30,5.60,8.85,5.90,6.75,4.95,4.25,6.85,3.85,4.75,7.20,5.25,5.05,2.30,7.25,4.55,2.30,5.90,5.80,4.05,4.30,5.50,8.60,2.30,4.85,7.10,12.00,5.35,7.85,7.70,6.40,2.30,5.50,4.55,5.05,10.55,5.30,6.25,4.60,6.85,6.20,7.75,7.00,3.75
Embarcadero,4.05,2.30,4.05,2.30,8.60,4.55,2.30,5.60,8.85,5.90,2.30,4.95,4.25,6.85,3.85,4.75,7.20,5.25,5.05,6.75,7.25,4.55,2.30,5.90,5.80,4.05,4.30,5.50,8.60,2.30,4.85,7.10,12.00,5.35,7.85,7.70,6.40,2.30,5.50,4.55,5.05,10.55,5.30,6.25,4.60,6.85,6.20,7.75,7.00,3.75
Montgomery Street,4.05,2.30,4.05,2.30,8.60,4.55,2.30,5.60,8.85,5.90,2.30,4.95,4.25,6.85,3.85,4.75,7.20,5.25,5.05,2.30,7.25,4.55,2.30,5.90,5.80,4.05,4.30,5.50,8.60,6.75,4.85,7.10,12.00,5.35,7.85,7.70,6.40,2.30,5.50,4.55,5.05,10.55,5.30,6.25,4.60,6.85,6.20,7.75,7.00,3.75
Powell Street,4.05,2.30,4.05,2.30,8.60,4.55,2.30,5.60,8.85,5.90,2.30,4.95,4.25,6.85,3.85,4.75,7.20,5.25,5.05,2.30,7.25,4.55,2.30,5.90,5.80,4.05,4.30,5.50,8.60,2.30,4.85,7.10,12.00,5.35,7.85,7.70,6.40,6.75,5.50,4.55,5.05,10.55,5.30,6.25,4.60,6.85,6.20,7.75,7.00,3.75
24th Street/Mission,4.40,2.30,4.40,6.75,8.75,4.80,2.30,5.75,9.00,6.05,2.30,5.10,3.95,7.00,3.60,4.90,7.35,5.40,5.20,2.30,7.40,4.90,2.30,6.05,5.90,4.40,4.60,5.35,8.70,2.30,5.00,7.25,12.20,5.50,8.00,7.85,6.50,2.30,5.65,4.85,4.75,10.35,5.45,6.40,4.30,7.00,6.35,7.90,7.15,4.15
Glen Park,4.65,2.30,4.65,2.30,8.95,5.00,2.30,5.90,9.20,6.25,2.30,5.25,3.80,7.15,3.60,5.10,7.55,5.55,5.40,2.30,7.55,5.05,6.75,6.20,6.10,4.65,4.85,5.05,8.90,2.30,5.15,7.40,12.35,5.65,8.20,8.00,6.70,2.30,5.80,5.00,4.45,10.05,5.65,6.60,4.00,7.15,6.50,8.05,7.35,4.45
Balboa Park,4.80,2.30,4.80,2.30,9.00,5.10,6.75,6.00,9.25,6.30,2.30,5.35,3.80,7.25,3.60,5.20,7.60,5.65,5.45,2.30,7.65,5.15,2.30,6.30,6.15,4.80,4.95,4.90,9.00,2.30,5.25,7.50,12.45,5.75,8.25,8.10,6.75,2.30,5.90,5.10,4.30,9.90,5.70,6.65,3.80,7.25,6.60,8.15,7.40,4.65
Daly City,4.95,3.60,4.95,3.60,9.15,5.20,3.60,6.15,9.40,6.45,3.85,5.50,3.80,7.40,6.75,5.30,7.75,5.80,5.60,3.85,7.80,5.30,3.60,6.45,6.30,4.95,5.10,4.65,9.10,3.85,5.40,7.65,12.60,5.90,8.40,8.25,6.90,3.85,6.05,5.25,3.80,9.65,5.85,6.80,3.80,7.40,6.75,8.30,7.55,4.90
West Oakland,2.30,4.05,2.30,4.15,6.70,2.30,4.65,3.55,6.95,4.00,3.75,2.55,4.85,4.90,4.90,2.35,5.30,3.20,2.90,3.75,5.30,2.30,4.45,4.00,3.85,2.30,2.30,5.75,6.65,3.75,2.50,5.15,9.65,3.10,5.95,5.75,4.45,3.75,3.60,2.30,5.35,10.80,3.10,4.35,5.05,4.90,4.25,5.80,5.10,6.75
Colma,4.95,4.05,4.95,3.95,9.15,5.20,3.80,6.10,9.40,6.45,4.25,5.50,6.75,7.35,3.80,5.30,7.75,5.75,5.60,4.25,7.75,5.25,3.80,6.45,6.30,4.95,5.05,4.40,9.10,4.25,5.35,7.60,12.55,5.85,8.40,8.20,6.90,4.25,6.00,5.20,3.80,9.40,5.85,6.80,3.80,7.35,6.70,8.25,7.55,4.85
19th Street Oakland,2.30,4.25,6.75,4.40,6.55,2.30,4.80,3.35,6.85,3.90,4.05,2.30,4.95,4.75,4.95,2.30,5.20,3.00,2.65,4.05,5.20,2.30,4.65,3.90,3.55,2.30,2.30,5.85,6.55,4.05,2.30,5.00,9.35,2.85,5.80,5.60,4.30,4.05,3.40,2.30,5.45,10.90,2.90,4.25,5.15,4.80,4.10,5.70,5.00,2.30
Lake Merritt,2.30,4.25,2.30,4.40,6.55,2.30,4.80,3.35,6.85,3.90,4.05,2.30,4.95,4.75,4.95,2.30,5.20,3.00,2.65,4.05,5.20,2.30,4.65,3.90,3.55,6.75,2.30,5.85,6.55,4.05,2.30,5.00,9.35,2.85,5.80,5.60,4.30,4.05,3.40,2.30,5.45,10.90,2.90,4.25,5.15,4.80,4.10,5.70,5.00,2.30
12th Street/Oakland City Center,6.75,4.25,2.30,4.40,6.55,2.30,4.80,3.35,6.85,3.90,4.05,2.30,4.95,4.75,4.95,2.30,5.20,3.00,2.65,4.05,5.20,2.30,4.65,3.90,3.55,2.30,2.30,5.85,6.55,4.05,2.30,5.00,9.35,2.85,5.80,5.60,4.30,4.05,3.40,2.30,5.45,10.90,2.90,4.25,5.15,4.80,4.10,5.70,5.00,2.30
South San Francisco,5.15,4.40,5.15,4.30,9.35,5.40,3.80,6.30,9.60,6.65,4.60,5.70,3.80,7.60,3.80,5.50,7.95,6.00,5.80,4.60,7.95,5.50,4.00,6.65,6.50,5.15,5.25,3.80,9.30,4.60,5.60,7.80,12.80,6.05,8.60,8.45,7.10,4.60,6.25,5.45,3.80,9.00,6.05,7.00,6.75,7.55,6.95,8.45,7.75,5.05
MacArthur,2.30,4.50,2.30,4.60,6.50,2.30,4.95,3.60,6.95,4.00,4.30,2.60,5.05,4.75,5.10,2.30,5.30,2.75,2.40,4.30,5.30,2.30,4.85,4.00,3.40,2.30,6.75,5.95,6.65,4.30,2.30,4.95,9.70,2.30,5.75,5.55,4.25,4.30,3.15,2.30,5.55,11.00,3.20,4.35,5.25,4.90,4.05,5.80,5.10,2.30
