Id,Contents__ResponseTimestamp,Contents__dataObjects__id,Contents__dataObjects__ScheduledStopPoint__id,Contents__dataObjects__ScheduledStopPoint__Extensions__LocationType,Contents__dataObjects__ScheduledStopPoint__Extensions__PlatformCode,Contents__dataObjects__ScheduledStopPoint__Extensions__ParentStation,Contents__dataObjects__ScheduledStopPoint__Extensions__ValidBetween__FromDate,Contents__dataObjects__ScheduledStopPoint__Extensions__ValidBetween__ToDate,Contents__dataObjects__ScheduledStopPoint__Name,Contents__dataObjects__ScheduledStopPoint__Location__Longitude,Contents__dataObjects__ScheduledStopPoint__Location__Latitude,Contents__dataObjects__ScheduledStopPoint__Url,Contents__dataObjects__ScheduledStopPoint__StopType
Yellow-S,2024-03-04T23:52:56-08:00,BA,ANTC,0,null,place_ANTC,2024-01-15T00:00:00-08:00,2024-08-11T23:59:00-08:00,Antioch,-121.780353,37.995415,null,onstreetBus
,,,PCTR,0,null,place_PCTR,2024-01-15T00:00:00-08:00,2024-08-11T23:59:00-08:00,Pittsburg Center,-121.889011,38.016873,null,onstreetBus
,,,PITT,0,null,place_PITT,2024-01-15T00:00:00-08:00,2024-08-11T23:59:00-08:00,Pittsburg / Bay Point,-121.944248,38.01895,null,onstreetBus
,,,NCON,0,null,place_NCON,2024-01-15T00:00:00-08:00,2024-08-11T23:59:00-08:00,North Concord / Martinez,-122.024561,38.003407,null,onstreetBus
,,,CONC,0,null,place_CONC,2024-01-15T00:00:00-08:00,2024-08-11T23:59:00-08:00,Concord,-122.029126,37.973773,null,onstreetBus
,,,PHIL,0,null,place_PHIL,2024-01-15T00:00:00-08:00,2024-08-11T23:59:00-08:00,Pleasant Hill / Contra Costa Centre,-122.056015,37.928463,null,onstreetBus
,,,WCRK,0,null,place_WCRK,2024-01-15T00:00:00-08:00,2024-08-11T23:59:00-08:00,Walnut Creek,-122.067379,37.905812,null,onstreetBus
,,,LAFY,0,null,place_LAFY,2024-01-15T00:00:00-08:00,2024-08-11T23:59:00-08:00,Lafayette,-122.124644,37.89322,null,onstreetBus
,,,ORIN,0,null,place_ORIN,2024-01-15T00:00:00-08:00,2024-08-11T23:59:00-08:00,Orinda,-122.183717,37.878503,null,onstreetBus
,,,ROCK,0,null,place_ROCK,2024-01-15T00:00:00-08:00,2024-08-11T23:59:00-08:00,Rockridge,-122.251271,37.844795,null,onstreetBus
