Name,StatusApril,Status,Type,Location,Description,FundingSource,ProjectTeam,ProjectTeamInfo,Image,Link,Center
1740 San Pablo Avenue,Design,Design,Affordable Housing,1740 San Pablo Avenue,Transform unutilized space at 1740 San Pablo into 54 new affordable homes for Berkeley families. Groundbreaking is anticipated on 2023.,['Measure O'],"['Jenny Wyant', 'Bridge Housing']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Bridge Housing', '(415) 983-1111']]",https://berkeleyca.gov//sites/default/files/2022-10/1740%20SPA%20rendering.png,https://berkeleyca.gov/your-government/our-work/capital-projects/1740-san-pablo-avenue,
1947 Center Street Facility Improvements,Design,Design,Facility,1947 Center Street,"This is a Measure T1 Phase 2 project. The 1947 Center Street is a multi-purpose facility that provides services and information to those who live, work and visit the City of Berkeley. The building will undergo HVAC system improvements to ensure proper indoor air quality. This project is in the design phase. Most recently, a Testing, Adjusting, Balancing (TAB) study was completed to determine the requirements for the optimal performance of the HVAC system. The next step is an HVAC design based on the TAB report and a seismic assessment.",['Measure T1'],['Elmar Kapfer '],"[['Elmar Kapfer ', 'Supervising ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/img-1947-Center-Street.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/1947-center-street-facility-improvements,
Addison Street Bicycle Boulevard Project,Completed,Completed,Transportation,The Addison Bike Boulevard will specifically provide an east-west connection between Milvia Street and Sacramento Street to connect West Berkeley to Downtown Berkeley.,"The Addison Bike Boulevard project is intended to address the community need, identified in the City of Berkeley Bicycle Plan (2017), for a bike route paralleling University Avenue. City Council approved the final project plans and specifications on January 26, 2021, and the construction contract was awarded to Sposeto Engineering, Inc. Construction will be performed as a component of the Central Berkeley Transportation & Infrastructure Improvements Project, which began in May 2021 and is scheduled to be substantially complete in early 2022. As a busy commercial corridor served by multiple bus lanes, University Avenue is intimidating for most people who ride their bike. The Addison Bike Boulevard will specifically provide an east-west connection between Milvia Street and Sacramento Street to connect West Berkeley to Downtown Berkeley. The project includes new bike boulevard pavement markings and signage for a Class 3 bikeway, in which motor vehicles will share the street with bicyclists, new crosswalk markings and pedestrian-scale lighting at selected intersections, and rectangular rapid flashing beacons (RRFBs) across Martin Luther King Jr. Way at the Addison Street intersection. Bicycle Boulevards are an important facility in a City’s street design toolkit, designed to bring low stress connectivity through residential neighborhoods. The focus of this project is to create a shared street environment that is comfortable for school children and less confident cyclists. A combination of signage, striping, and lighting treatments can increase awareness of people walking and bicycling. In addition to the striping and signing elements supporting a bicycle boulevard along Addison Street, rectangular rapid flashing beacons are planned to be installed at Addison and Martin Luther King, Jr. Way.",[],['Kenneth Jung'],"[['Kenneth Jung', 'Project Manager', 'kjung@cityofberkeley.info']]",https://berkeleyca.gov//sites/default/files/2022-03/Addison-1_md.png,https://berkeleyca.gov/your-government/our-work/capital-projects/addison-street-bicycle-boulevard-project,
Adeline Street Improvements,Completed,Completed,Transportation,"Adeline Street, from Ashby Avenue to Derby Street","This is aMeasure T1Phase 1 project. Adeline Street runs from South Berkeley to Shattuck Avenue and is a main arterial connection to Oakland. This project improved approximately 4,000 linear feet of pavement from Ashby Avenue to Derby Street and included protected bicycle lanes, bus boarding islands and high visibility crosswalks.","['Measure T1', 'Measure B & BB', 'Measure M']",['Public Works Engineering'],"[['Public Works Engineering', '(510) 981‐6400', '']]",https://berkeleyca.gov//sites/default/files/2022-03/bubus-and-bike-lane-adeline.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/adeline-street-improvements,
Adult Mental Health Services Center,Completed,Completed,Facility,2640 Martin Luther King Jr. Way,"This is a Measure T1 Phase 1 project. On January 23, 2018, City Council adopted Resolution No. 68,290-N.S. authorizing the allocation of $2 Million of Phase 1 Measure T1 funds for major renovations of the City of Berkeley’s Adult Mental Health Services Center located at 2640 Martin Luther King Jr. Way. The center provides mental health and related social services to Berkeley and Albany community members and their families. This project includes interior renovations and seismic upgrade.","['Measure T1', 'Mental Health Services Act', 'Capital Improvement Fund', 'Mental Health State Aid Realignment Fund', 'Community Development Block Grant', 'Marina Fund']",['Elmar Kapfer'],"[['Elmar Kapfer', 'Supervising Civil Engineer', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2023-04/img_Adult-mental-health-bldg-01.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/adult-mental-health-services-center,
African American Holistic Resource Center ,Planning,Planning,Facility,1890 Alcatraz Avenue,"This is a Measure T1 Phase 2 project. The African American Holistic Resource Center (AAHRC) will be a facility to house culturally relevant services to help eliminate inequities within Berkeley's African American Community.The vision for theAfrican American Holistic Resource Center is to hostservices to benefit the community with education, employment, health, mental health, and housing advocacy and supports. The funding for this project comes from the following sources: The original project planned to renovate the existing City building at 1890 Alcatraz. After the structural and soils assessment, the City proceeded to provide and additional $6.85M in funding to demolish the existing building and build a brand new 6000 square foot AAHRC. The design team includes the AAHRC Steering Committee, City Staff, AE3 Architects and the Cumming Group. The design process is currently underway. Please see below for public input opportunities. Additionally feedback can be provided by emailing City project manager Isaac Carnegie at icarnegie@berkeleyca.gov. Join us on Sunday, June 18th, from 11:00 am - 7:00 pm, block party near Alcatraz Avenue.
For more information, visit Berkeley Juneteenth Celebration","['Measure T1', 'General Fund']","['Isaac Carnegie', 'Tunde Olayomi']","[['Isaac Carnegie', 'Associate Civil Engineer ', '510-981-6432'], ['Tunde Olayomi', 'Cumming Management Group ', '415-961-1559']]",https://berkeleyca.gov//sites/default/files/2023-06/IMG_3792_0.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/african-american-holistic-resource-center,
Aquatic Park Capital Improvement Projects,Construction,Construction,Other Infrastructure,"Addison Street to Dreamland/Channing Way (Landscape and Streetscape)
West side of Aquatic Park (Tree Planting)
South west corner of Aquatic Park (Boating and rowing parking lot)","There are 3 capital improvement projects happening in Aquatic Park during 2023. They are described below. For questions or further information related to the east side Bolivar Drive improvements and the west side parking lot improvements, please email Nelson Lam at NeLam@berkeleyca.gov. For questions or further information related to the West Bolivar Tree Planting Project, please email Ian Kesterson ikesterson@berkeleyca.gov. The Aquatic Park Northeast Landscape and Streetscape Improvements Project infront of 600 Bolivar Dr. and 600 AddisonSt. has the following elements: This project is funded from a Community Benefits Agreement with Berkeley Commons, 600 Addison Development Project (approximately $5.5M), and Parks Tax ($250K). This project has started construction with anticipated completion in October of 2023 The West Bolivar Drive Tree Planting Project has the following elements: The 600 Addison project and this tree planting project, will plant a combined total of 340 trees, which will be native climate-ready and drought-resistant trees that will include species such as California Live Oak/Coast Live Oak, California Buckeye, California Redbud/Western Redbud, Catalina Ironwood, etc. These new trees will provide the following enhanced environmental and aesthetic benefits: This project is funded by an Environmental Enhancement and Mitigation ProgramGrant ($100K) and the Bayer Fund ($160K). This project will start in August/September and be finished by November of 2023 The Aquatic Park Paddling and Rowing Club Parking Lot Improvements Project has the following elements: This project is funded by Parks Tax ($428K) and the Bayer Fund ($158K). This project has started construction with anticipated completion in July of 2023","['Parks Tax', 'Community Benefits Agreement by Berkeley Commons', 'Environmental Enhancement and Mitigation Program']","['Nelson Lam', 'Ian Kesterson']","[['Nelson Lam', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront'], ['Ian Kesterson', 'Planting Arborist', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2023-05/04_AquaticPark_5_26_2023_6_0.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/aquatic-park-capital-improvement-projects,
Aquatic Park Central Tide Tubes Repair Sediment Removal,Completed,Completed,Other Infrastructure,2821 West Bolivar Drive,"This is a Measure T1 Phase 2 project. This Phase 1B of the project consists of off-hauling the temporary sediment stockpile from the Phase 1A project to a disposal facility. Phase 1A was completed in the Fall of 2020, and consisted of sediment removal to restore the operating capacity of the tide tubes by cleaning out the accumulated sediment and conducting an inspection and assessment of the tide tubes and slide gate. This project was completed in November 2022.","['Measure T1', 'Measure F']","['Jesus Espinoza', 'Nelson Lam']","[['Jesus Espinoza', 'Assistant Civil Engineer', 'Parks, Recreation & Waterfront'], ['Nelson Lam', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-02/img_AquaticPark_tide-tubes-01.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/aquatic-park-central-tide-tubes-repair-sediment-removal,
BART Sites,Planning,Planning,Affordable Housing,Ashby and North Berkeley Bart Stations,"Planning is underway to re-imagine the Ashby and North Berkeley BART stations as vibrant places that include housing, open space and community amenities. Both sites are owned by the San Francisco Bay Area Rapid Transit District (BART). The City of Berkeley is working with BART to develop zoning and site planning parameters for the station areas that reflect a shared community vision. After the zoning is complete, BART, as the property owner, will choose the developer and oversee construction of any projects at their stations.",['Measure O'],['Jenny Wyant'],"[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services']]",https://berkeleyca.gov//sites/default/files/2022-10/North%20Berkeley%20BART%20site%20view.PNG,https://berkeleyca.gov/your-government/our-work/capital-projects/bart-sites,
Bay Trail Extension Segment 3,Completed,Completed,Sidewalk,"Bay Trail, from South Cove East Parking Lot to Adventure Playground","The Bay Trail Extension is a spur trail from the main north-south spine of the Bay Trail that takes visitors through the entire length of the southern side of the Berkeley Marina. It is designed as a shared-use trail approximately 1.2 miles in length, starting from the existing Bay Trail at West Frontage Road and ending at the Berkeley Yacht Club at the north end of Seawall Drive. The trail will be built in phases over time, as funding is obtained. The first portion of the trail was completed in 2014 (Segments One and Two, from West Frontage Road to the South Cove East Parking Lot). In 2016, the City received a grant of $500,000 in federal funds and $200,000 in local Marina Funds to complete the design and implement Segment Three, which will enhance approximately 600 feet of the existing trail just to the south of the two existing sailing clubs (Cal Sailing Club and Cal Adventures) at the sailboat and dock staging area. The main elements of the current trail enhancement project – the Bay Trail Extension Segment Three Project – are the following:","['Capital Improvement Fund', 'Marina Fund', 'Metropolitan Transportation Commission Grant']",['Roger Miller'],"[['Roger Miller', 'Senior Management Analyst', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_BayTrail_extension-01.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/bay-trail-extension-segment-3,
