Name,Status,Type,Location,Description,Funding Source,Project Team,Project Team Info,Center
1740 San Pablo Avenue,Design,Affordable Housing,1740 San Pablo Avenue,Transform unutilized space at 1740 San Pablo into 54 new affordable homes for Berkeley families. Groundbreaking is anticipated on 2023.,['Measure O'],"['Jenny Wyant', 'Bridge Housing']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Bridge Housing', '(415) 983-1111']]",[]
1947 Center Street Facility Improvements,Design,Facility,1947 Center Street,"This is a Measure T1 Phase 2 project. The 1947 Center Street is a multi-purpose facility that provides services and information to those who live, work and visit the City of Berkeley. The building will undergo HVAC system improvements to ensure proper indoor air quality. This project is in the design phase. Most recently, a Testing, Adjusting, Balancing (TAB) study was completed to determine the requirements for the optimal performance of the HVAC system. The next step is an HVAC design based on the TAB report and a seismic assessment.",['Measure T1'],"['Elmar Kapfer ', 'Ingrid Lin']","[['Elmar Kapfer ', 'Supervising ', 'Public Works'], ['Ingrid Lin', 'Associate Civil Engineer ', 'Public Works']]",[]
Addison Street Bicycle Boulevard Project,Design,Transportation,The Addison Bike Boulevard will specifically provide an east-west connection between Milvia Street and Sacramento Street to connect West Berkeley to Downtown Berkeley.,"The Addison Bike Boulevard project is intended to address the community need, identified in the City of Berkeley Bicycle Plan (2017), for a bike route paralleling University Avenue. City Council approved the final project plans and specifications on January 26, 2021, and the construction contract was awarded to Sposeto Engineering, Inc. Construction will be performed as a component of the Central Berkeley Transportation & Infrastructure Improvements Project, which began in May 2021 and is scheduled to be substantially complete in early 2022. As a busy commercial corridor served by multiple bus lanes, University Avenue is intimidating for most people who ride their bike. The Addison Bike Boulevard will specifically provide an east-west connection between Milvia Street and Sacramento Street to connect West Berkeley to Downtown Berkeley. The project includes new bike boulevard pavement markings and signage for a Class 3 bikeway, in which motor vehicles will share the street with bicyclists, new crosswalk markings and pedestrian-scale lighting at selected intersections, and rectangular rapid flashing beacons (RRFBs) across Martin Luther King Jr. Way at the Addison Street intersection. Bicycle Boulevards are an important facility in a City’s street design toolkit, designed to bring low stress connectivity through residential neighborhoods. The focus of this project is to create a shared street environment that is comfortable for school children and less confident cyclists. A combination of signage, striping, and lighting treatments can increase awareness of people walking and bicycling. In addition to the striping and signing elements supporting a bicycle boulevard along Addison Street, rectangular rapid flashing beacons are planned to be installed at Addison and Martin Luther King, Jr. Way.",[],['Kenneth Jung'],"[['Kenneth Jung', 'Project Manager', 'kjung@cityofberkeley.info']]",[]
Adeline Street Improvements,Completed,Transportation,"Adeline Street, from Ashby Avenue to Derby Street","This is aMeasure T1Phase 1 project. Adeline Street runs from South Berkeley to Shattuck Avenue and is a main arterial connection to Oakland. This project improved approximately 4,000 linear feet of pavement from Ashby Avenue to Derby Street and included protected bicycle lanes, bus boarding islands and high visibility crosswalks.","['Measure T1', 'Measure B & BB', 'Measure M']",['Public Works Engineering'],"[['Public Works Engineering', '(510) 981‐6400', '']]",[]
Adult Mental Health Services Center,Completed,Facility,2640 Martin Luther King Jr. Way,"This is a Measure T1 Phase 1 project. On January 23, 2018, City Council adopted Resolution No. 68,290-N.S. authorizing the allocation of $2 Million of Phase 1 Measure T1 funds for major renovations of the City of Berkeley’s Adult Mental Health Services Center located at 2640 Martin Luther King Jr. Way. The center provides mental health and related social services to Berkeley and Albany community members and their families. This project includes interior renovations and seismic upgrade.","['Measure T1', 'Mental Health Services Act', 'Capital Improvement Fund', 'Mental Health State Aid Realignment Fund', 'Community Development Block Grant', 'Marina Fund']",['Elmar Kapfer'],"[['Elmar Kapfer', 'Supervising Civil Engineer', 'Public Works']]",[]
Ann Chandler Public Health Center,Completed,Facility,830 University Ave,This is a Measure T1 Phase 1 project. The Ann Chandler Public Health Center serves thousands of diverse community members each year providing low-cost or free health services. The electrical wiring and conduits have passed their useful life and are in need of an upgrade. This project includes assessment of the center to determine electrical upgrades needed.,['Measure T1'],['Ingrid Lin'],"[['Ingrid Lin', 'Civil Engineer', 'Public Works']]",[]
Aquatic Park Central Tide Tubes Repair Sediment Removal,Completed,Other Infrastructure,2821 West Bolivar Drive,"This is a Measure T1 Phase 2 project. This Phase 1B of the project consists of off-hauling the temporary sediment stockpile from the Phase 1A project to a disposal facility. Phase 1A was completed in the Fall of 2020, and consisted of sediment removal to restore the operating capacity of the tide tubes by cleaning out the accumulated sediment and conducting an inspection and assessment of the tide tubes and slide gate. This project was completed in November 2022.","['Measure T1', 'Measure F']","['Jesus Espinoza', 'Nelson Lam']","[['Jesus Espinoza', 'Assistant Civil Engineer', 'Parks, Recreation & Waterfront'], ['Nelson Lam', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
BART Sites,Completed,Affordable Housing,Ashby and North Berkeley Bart Stations,"Planning is underway to re-imagine the Ashby and North Berkeley BART stations as vibrant places that include housing, open space and community amenities. Both sites are owned by the San Francisco Bay Area Rapid Transit District (BART). The City of Berkeley is working with BART to develop zoning and site planning parameters for the station areas that reflect a shared community vision. After the zoning is complete, BART, as the property owner, will choose the developer and oversee construction of any projects at their stations.",['Measure O'],['Jenny Wyant'],"[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services']]",[]
Bay Trail Extension Segment 3,Planning,Sidewalk,"Bay Trail, from South Cove East Parking Lot to Adventure Playground","The Bay Trail Extension is a spur trail from the main north-south spine of the Bay Trail that takes visitors through the entire length of the southern side of the Berkeley Marina. It is designed as a shared-use trail approximately 1.2 miles in length, starting from the existing Bay Trail at West Frontage Road and ending at the Berkeley Yacht Club at the north end of Seawall Drive. The trail will be built in phases over time, as funding is obtained. The first portion of the trail was completed in 2014 (Segments One and Two, from West Frontage Road to the South Cove East Parking Lot). In 2016, the City received a grant of $500,000 in federal funds and $200,000 in local Marina Funds to complete the design and implement Segment Three, which will enhance approximately 600 feet of the existing trail just to the south of the two existing sailing clubs (Cal Sailing Club and Cal Adventures) at the sailboat and dock staging area. The main elements of the current trail enhancement project – the Bay Trail Extension Segment Three Project – are the following:","['Capital Improvement Fund', 'Marina Fund', 'Metropolitan Transportation Commission Grant']",['Roger Miller'],"[['Roger Miller', 'Senior Management Analyst', 'Parks, Recreation & Waterfront']]",[]
Berkeley Marina Roadway Improvements Project,Completed,Street,University Avenue (between West Frontage Road and Marina Boulevard),"This is a Measure T1 Phase 2 project. Initial preparations began in early August 2021 with utilities coordination along University Avenue, developing temporary traffic control plans and obtaining the Caltrans permit for establishing traffic control along W. Frontage Road intersection. On October 4, 2021 the Contractor began the first phase improvements on the eastbound lanes on University Avenue as well as the Spinnaker Way roundabout. Alleviate pavement undulation, improve traffic operation and efficiency at Marina Boulevard intersection while promote pedestrian and bicyclist access and safety, implement stormwater green infrastructure where applicable, and enhance entrance point to the Berkeley Marina. Alleviate pavement undulation, improve on‐street parking operation, enhance pavement drainage, implement stormwater green infrastructure where applicable, and provide pedestrian access to Cesar Chavez Park. Enhance longevity of pavement surface, and improve traffic operation.","['Measure T1', 'Measure B & BB', 'Senate Bill 1', 'Capital Improvement Fund', 'Doubletree Hotel Capital Contribution']",['Nelson Lam'],"[['Nelson Lam', 'Supervising Civil Engineer ', 'Parks, Recreation & Waterfront']]",[]
