Name,StatusApril,Status,Type,Location,Description,FundingSource,ProjectTeam,ProjectTeamInfo,Image,Link,Center
Aquatic Park Capital Improvement Projects,Construction,Construction,Other Infrastructure,"Addison Street to Dreamland/Channing Way (Landscape and Streetscape)
West side of Aquatic Park (Tree Planting)
South west corner of Aquatic Park (Boating and rowing parking lot)","There are 3 capital improvement projects happening in Aquatic Park during 2023. They are described below. For questions or further information related to the east side Bolivar Drive improvements and the west side parking lot improvements, please email Nelson Lam at NeLam@berkeleyca.gov. For questions or further information related to the West Bolivar Tree Planting Project, please email Ian Kesterson ikesterson@berkeleyca.gov. The Aquatic Park Northeast Landscape and Streetscape Improvements Project infront of 600 Bolivar Dr. and 600 AddisonSt. has the following elements: This project is funded from a Community Benefits Agreement with Berkeley Commons, 600 Addison Development Project (approximately $5.5M), and Parks Tax ($250K). This project has started construction with anticipated completion in October of 2023 The West Bolivar Drive Tree Planting Project has the following elements: The 600 Addison project and this tree planting project, will plant a combined total of 340 trees, which will be native climate-ready and drought-resistant trees that will include species such as California Live Oak/Coast Live Oak, California Buckeye, California Redbud/Western Redbud, Catalina Ironwood, etc. These new trees will provide the following enhanced environmental and aesthetic benefits: This project is funded by an Environmental Enhancement and Mitigation ProgramGrant ($100K) and the Bayer Fund ($160K). This project will start in August/September and be finished by November of 2023 The Aquatic Park Paddling and Rowing Club Parking Lot Improvements Project has the following elements: This project is funded by Parks Tax ($428K) and the Bayer Fund ($158K). This project has started construction with anticipated completion in July of 2023","['Parks Tax', 'Community Benefits Agreement by Berkeley Commons', 'Environmental Enhancement and Mitigation Program']","['Nelson Lam', 'Ian Kesterson']","[['Nelson Lam', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront'], ['Ian Kesterson', 'Planting Arborist', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2023-05/04_AquaticPark_5_26_2023_6_0.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/aquatic-park-capital-improvement-projects,"[37.857013892914246, -122.29977867604194]"
Berkeley Way Apartments and Hope Center,Construction,Construction,Affordable Housing,2012 Berkeley Way,"Located in the heart of downtown Berkeley, the site includes two side-by-side developments: BRIDGE’s Berkeley Way Apartments with 89 affordable homes and services for low- and very low- income families; and the Hope Center, with 53 permanent supportive housing apartments, a 32-bed homeless shelter, 12 transitional beds for homeless veterans, a community kitchen and wrap-around services for mental health, substance abuse, job training and social activities.","['Measure O', 'Housing Trust Fund', 'Measure U1']","['Jenny Wyant', 'Bridge Housing', 'Berkeley Food and Housing Project (BFHP)']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Bridge Housing', '(415) 989-1111'], ['Berkeley Food and Housing Project (BFHP)', '(510) 649-4965']]",https://berkeleyca.gov//sites/default/files/2022-10/20220424-city-of-berkeley-066.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/berkeley-way-apartments-and-hope-center,"[37.87264413790498, -122.27049415109335]"
Bioswale at Rose and Hopkins,Construction,Completed,Storm,At Rose and Hopkins intersection,The intersection contained a large concrete traffic island. This location was identified as an opportunity to install a bio-swale while at the same time slightly altering the shape of the island to provide traffic calming while maintaining emergency vehicle access to the residences and to transit through this part of the City. This project was funded by Measure M.,['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-10/Rose%20Hopkins.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/bioswale-rose-and-hopkins,"[37.87652069155654, -122.29158985470886]"
Blake Apartments ,Construction,Construction,Affordable Housing,2527 San Pablo Avenue,"Blake Apartments will be the new construction of an affordable housing community for families and people with special needs. The six-story building will provide 63 homes as follows: 21 studio units, eight one-bedroom units, 33 two-bedroom units and one three-bedroom manager’s unit. Twelve homes are prioritized for people with an intellectual or developmental disability.","['Measure O', 'State Local Housing Trust Fund']","['Jenny Wyant', 'Satellite Affordable Housing Associates']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Satellite Affordable Housing Associates', '(510) 647-0700', '']]",https://berkeleyca.gov//sites/default/files/2022-10/Blake%20rendering.png,https://berkeleyca.gov/your-government/our-work/capital-projects/blake-apartments,"[37.8605589, -122.2890309]"
Grove Park Field and Playground Improvements,Construction,Construction,Park,"1730 Oregon Street, Berkeley, CA 94703","This is aMeasure T1Phase 1 and Phase 2 project. This is Phase 2 of improvements planned to the park. Phase 1 improvements included reconstruction of the tennis courts, and renovation of the basketball courts and public restroom, completed in 2017. Proposed Phase 2 improvements include: renovation of turf and infield area; landscaping and irrigation improvements; netting and fence improvements; the demolition and reconstruction of the Age 2-5 playground and Age 5-12 playground; accessibility improvements throughout the project site; renovation of the picnic area; drainage improvements; and various other related site improvements. The construction contract has been approved by Council and construction is scheduled to begin in May 2023 for a period of approximately 8 months through Winter 2024.","['Measure T1', 'Measure F']","['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_GrovePark-01.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/grove-park-field-and-playground-improvements,"[37.85656491386533, -122.27228481331089]"
King Pool Tile and Plaster Replacement Project,Construction,Construction,Facility,1700 Hopkins St,"This is aMeasure T1Phase 2 project. King Pool was last plastered 13 years ago, and the surfacing had exceeded its useful life. The improvements include new pool plaster surface, waterline and imbedded tile, suction outlet covers, pool filter media, chemical controller updates, pool shell plumbing modification, and bathroom fixture modernization.The baseline scope has been substantially completed, and the pool has re-opened for public use. A change order will complete electrical controller work at the pool in the Spring of 2023.",['Measure T1'],"['Justin Pitcher ', 'Bruce Pratt']","[['Justin Pitcher ', 'Recreation Program Supervisor', 'Parks, Recreation & Waterfront'], ['Bruce Pratt', 'Parks Superintendent', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-11/King%20Pool%201.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/king-pool-tile-and-plaster-replacement-project,"[37.88276842764381, -122.27867850660195]"
King School Park Play Area Renovation Project,Construction,Completed,Park,"1700 Hopkins Street, Berkeley, CA 94707","A giant eucalyptus tree toppled during the night of February 26, 2019, crushing and destroying the tot playground used by children age 2-5. Several site elements around the tot-lot were also damaged or destroyed. The King School Park Project included the replacement of the age 2-5 playground, added a new age 5-12 play element dubbed the “DNA Tower” where the eucalyptus tree once stood, and included various other accessibility and site improvements to the park, including the installation of new trees back to the park. Work was completed in November 2021 in coordination with the Berkeley Unified School District.",['Measure F'],"['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_KSP-01.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/king-school-park-play-area-renovation-project,"[37.88276842764381, -122.27867850660195]"
Maudelle Miller Shirek Community,Construction,Construction,Affordable Housing,2001 Ashby Avenue,"Maudelle Miller Shirek Community is an affordable rental community under construction. Construction started in February 2022 and we anticipate completing it in Spring 2024. Maudelle Miller Shirek Community is centrally located across the street from the Ashby BART station. This transit-rich mixed-use community is close to shopping, schools, dining, and jobs, which will provide 87 apartments consisting of 18 studios, 21 one-bedrooms, 26 2-bedrooms, and 22 3-bedrooms.","['Measure O', 'State Local Housing Trust Fund', 'Measure U1']","['Jenny Wyant', 'Resources for Community Development']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Resources for Community Development', '(510) 841-4410', '']]",https://berkeleyca.gov//sites/default/files/2022-10/2022-10-14%20Maudelle%20rendering.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/maudelle-miller-shirek-community,"[37.85528574594757, -122.26845020083144]"
North Berkeley Senior Center,Construction,Construction,Facility,1901 Hearst St,"This is a Measure T1 Phase 1 Project. The North Berkeley Senior Center (NBSC) houses a dynamic community offering a variety of activities, classes, and services for seniors. The renovations and seismic upgrade project will modernize the interior and provide much needed upgrades to improve the safety and functionality of the building, including seismic for “care and shelter” requirements as well as ADA compliance. The project includes seismic retrofit of the building, deferred maintenance upgrades, and programming improvements. The center will serve as a Care and Shelter facility during emergencies.","['Measure T1', 'Federal Emergency Management Agency Grant']",['Elmar Kapfer'],"[['Elmar Kapfer', 'Supervising Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-10/north-berkeley-senior-center.png,https://berkeleyca.gov/your-government/our-work/capital-projects/north-berkeley-senior-center,"[37.87380832688395, -122.2728811911139]"
Ohlone Greenway Safety Improvements Project,Construction,Planning,Transportation,"This project will make improvements to the Ohlone Greenway multi-use pathway, from Virginia Gardens to the south to Santa Fe Avenue to the north. It includes the following intersections: Virginia Gardens, Cedar Street, Rose Street, Hopkins Street, Peralta Avenue, Gilman Street, and Santa Fe Avenue.","The goals of the Ohlone Greenway Safety Improvements Project are to upgrade a portion of the existing multi-use pathway, from Virginia Gardens to the south to Santa Fe Avenue to the north. The upgrades aim to better accommodate the needs of all users and improve safety, especially at roadway intersections and at night. Upgrades will focus on the following: For more information on this project, including links to public meetings and surveys, please visit the project website.","['Vehicle Registration Fee (VRF)', 'Measure B & BB']",['Ken Jung'],"[['Ken Jung', 'Project Manager', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2023-02/Ohlone_Greenway_BaseMap.png,https://berkeleyca.gov/your-government/our-work/capital-projects/ohlone-greenway-safety-improvements-project,"[37.87567418270633, -122.2868287942862]"
