Permit.Number,Permit.Type,Status,Date.Issued,Sub.Type,Property.Address,Valuation,APN,Contractor.s.Name,Contractor.s.Address,Work.Description
B2017-02564,Building Permit,Issued,1/2/2019,Residential | Alteration | 4,"3031 WHEELER St,
BERKELEY, CA 94705",50000,"052
158403000",POWER PLUS!,"1210 N RED GUM ST, ANAHEIM, CA, CA92806-1820","Repair and Alteration of (E) Duplex Building including but not limited to adding shear walls, plywood, joists, beams, wall instead of fire place, new roof framing and roof, new electrical, plumbing and mechanical. Add tankless water heater and furnace. See Permit Number B2016-03671 for foundation work."
B2017-04818,Building Permit,Issued,1/24/2019,"Residential | Addition/Alteration
| 6","2850 BUENA VISTA Way, BERKELEY, CA 94708",126000,"058
224207508",CANIVET CONSTRUCTION INC,"828 SAN PABLO AVE STE 230, BERKELEY, CA, CA94706-1564",66sq addition. Replace exterior doors in dining room. rebuild in-kind carport. Replace deck railing.
B2018-00955,Building Permit,Issued,1/23/2019,Residential | Alteration | 4,"1510 SPRUCE St,
BERKELEY, CA 94709",127400,"059
225600600",DUVAL CONSTRUCTION INC,"8642 TERRACE DR, EL CERRITO, CA, CA94530",Legalize lower unit. Abate Notice of Violation and Housing Code Enforcement report #H2018-00007. Engineered seismic retrofit in basement. For transfer tax rebate.
B2018-01469,Building Permit,Issued,1/18/2019,Residential | Addition | 4,"2656 VIRGINIA St,
BERKELEY, CA 94709",119000,"058
220601300",,,Vertical Addition. Add 317 square feet to unit A first floor and add second floor to unit A. Second floor addition is 1242 square feet. Foundation work associated with this permit is under B2018-03122
B2018-01711,Building Permit,Issued,1/28/2019,Residential | Alteration | 4,"2922 STANTON St C, BERKELEY, CA 94702",10000,"053
161900900",,,To obtain permit for staircase per housing report H2014-00372
B2018-01748,Building Permit,Issued,1/7/2019,Residential | Alteration | 4,"2968 LINDEN Ave,
BERKELEY, CA 94705",20000,"052
156604100",MC DOWELL CONSTRUCTION,"1470 ROSE ST, BERKELEY, CA, CA947021230","Kitchen remodel and remove internal brick chimney, install strengthening measures and new cabintes"
B2018-01872,Building Permit,Issued,1/14/2019,Residential | Alteration | 1,"2335 SACRAMENTO St,
BERKELEY, CA 94702",22000,"055
191405400","ARTIFEX CONSTRUCTION, INC","357 SANTA CLARA AVE APT 3, OAKLAND, CA, CA94610-2694",Legalize existing 357sqft ADU (converted from permitted carport). Removal of 125sqft accessory building (Built without permit) to be covered under separate permit.
B2018-01885,Building Permit,Issued,1/2/2019,Residential | Alteration | 1,"1100 KEITH Ave,
BERKELEY, CA 94708",90135.71,"063
298802500",,,"Remodel Main Floor and lower level, Repair or replace pipes as necessary also add 223 ft of conditioned space to basement. Must Comply with Fire Zone 2 Requirements."
B2018-01913,Building Permit,Issued,1/8/2019,Commercial | Alteration | 4,"2600 DURANT Ave,
BERKELEY, CA 94704",275000,"055
187201400",ECHO SUMMIT CONSTRUCTION INC,"PO BOX 170346, SAN FRANCISCO, CA, CA94117",Remove existing finishes and convert to quick service restaurant.
B2018-02043,Building Permit,Finaled,1/22/2019,Mixed Use | Alteration | 1,"2355 TELEGRAPH Ave,
BERKELEY, CA 94704",1200,"055
187601302",VIKING SIGN INSTALLATIONS,"1164 BESSEMER AVENUE SUITE 1, MANTECA, CA, CA95337",Install (2) non- illlum blade signs mounted onto 2x2 aluminum tube supports
B2018-02160,Building Permit,Issued,1/30/2019,Commercial | Alteration | 1,"1238 FIFTH St, BERKELEY, CA 94710",110000,"060
236001206",LENNEN COMMERCIAL BUILDERS INC,"4536 SAINT ANDREWS DRIVE, STOCKTON, CA, CA95219",Add new 780sqft to (E) mezzanine at north east corner of site inside building footprint
B2018-02452,Building Permit,Issued,1/7/2019,Residential | Alteration | 1,"1329 MILVIA St, BERKELEY, CA 94709",51200,"060
245305300",ELLIOTT BUILD,"PO BOX 2746, BERKELEY, CA, CA94702-0746","Kitchen remodel, (n) windows, extend (e) deck /no sf added."
B2018-02520,Building Permit,Issued,1/23/2019,Residential | Alteration | 0,"2601 VIRGINIA St,
BERKELEY, CA 94709",29250,"058
220902000",DUVAL CONSTRUCTION INC,"8642 TERRACE DR, EL CERRITO, CA, CA94530",Engineered seismic retrofit not for transfer tax rebate
B2018-02600,Building Permit,Issued,1/17/2019,"Residential | Addition/Alteration
| 4","1260 MONTEREY Ave,
BERKELEY, CA 94707",172000,"060
242901400",,,"Add 2nd story to residence with bedrooms on 2nd floor, relocate kitchen on 1st floor and open floor plan with 1/2 bath"
B2018-02640 ,Building Permit ,Issued ,1/24/2019,"Residential | Addition/Alteration
| 1 ","1734 SPRUCE St,
BERKELEY, CA 94709 ",159374.31,"058
218100600 ", , ,"Voluntary seismic retrofit and conversion of an existing illegal non-conforming dwelling unit into a legal dwelling unit. Remodel the 6 existing units on the second and third floor for a total of 7 units.valuation increased from $95000 to $160,000"
B2018-02745,Building Permit,Issued,1/2/2019,Residential | Alteration | 0,"2909 AVALON Ave,
BERKELEY, CA 94705",0,"053
170103101",OCCIDENTAL POWER SOLAR & COGEN,"5982 MISSION ST, SAN FRANCISCO, CA, CA94116",Install 14.7KW PV solar panels on roof (43 modules).
B2018-03001,Building Permit,Issued,1/7/2019,Residential | Alteration | 1,"1520 CORNELL Ave,
BERKELEY, CA 94702",3000,"059
228900600",,,"Upgrade electrical, mechanical and plumbing per housing case #H2018-00104 items #4, 5, 10, 14, 15
and 18."
B2018-03041,Building Permit,Issued,1/17/2019,Residential | Alteration | 1,"1818 WALNUT St 11,
BERKELEY, CA 94709",2500,"057
204900500",,,"Replace broken railing and two small awnings in unit 11, per housing case #H2018-00063 items #17 and #18."
B2018-03289,Building Permit,Issued,1/7/2019,"Residential | Addition/Alteration
| 4","2130 DERBY St,
BERKELEY, CA 94705",125000,"054
171900900",,,"Convert (E) garage to ADU, w/250 sg additional."
B2018-03387,Building Permit,Issued,1/8/2019,Commercial | Alteration | 4,"1950 SHATTUCK Ave,
BERKELEY, CA 94704",95000,"057
205300100",ALL STAR TEAM CONSTRUCTION,"1117 OAK STREET, ALAMEDA, CA, CA94501",Commercial T.I. for Amausaan Uji Matcha restaurant.
B2018-03410,Building Permit,Issued,1/28/2019,Commercial | Alteration | 4,"200 MARINA Blvd,
BERKELEY, CA 94710",1052005.9,"060
254500100",AWARD CONSTRUCTION & RESTORATION,"3351 THUNDERCLOUD DRIVE, LAKE HAVASU CITY, AZ, AZ86406","Tenant Improvement, renovation of (e) common areas and room layouts & interior partition removal."
B2018-03456,Building Permit,Issued,1/29/2019,Residential | Alteration | 4,"2023 PRINCE St,
BERKELEY, CA 94703",225000,"053
159400500",CASTELLANOS CONSTRUCTION,"1278 SEMINARY AVE, OAKLAND, CA, CA94621","Interior renovation of an existing residence. The proposed floor plan will include a master bedroom, master bath, kitchen, living room, bathroom and second bedroom. storage in the attic."
B2018-03463,Building Permit,Issued,1/23/2019,Residential | Alteration | 1,"1237 RUSSELL St,
BERKELEY, CA 94702",100000,"053
166401200",KMK CONSTRUCTION AND DESIGN INC,"915 EL RANCHO CT, ROSEVILLE, CA, CA95661-5358","Replace (e) windows, remodel kitchens & baths. Replace insulation in walls & ceilings. (n) led Lighting"
B2018-03501,Building Permit,Issued,1/2/2019,Residential | Alteration | 1,"1365 ADA St, BERKELEY, CA 94702",90000,"060
242304300",NAVRO INC,"101 BROADWAY STE 307, OAKLAND, CA, CA94607-3745","Remodel kitchen and bathroom, new windows and furnace, convert dining room into bedroom"
B2018-03523,Building Permit,Issued,1/4/2019,Commercial | Alteration | 1,"1277 GILMAN St,
BERKELEY, CA 94706",82728.2,"060
241101204",,,"Tenant Improvement, full service restaurant"
B2018-03663,Building Permit,Issued,1/29/2019,Commercial | Alteration | 4,"920 HEINZ Ave, BERKELEY, CA 94710",75000,"053
165100101",SCHWARCK JEFF GENERAL CONTRACT,"P O BOX 325, LAFAYETTE, CA, CA94549",Construct roof on an existing 1242 sq. ft. second floor outdoor utility space.
B2018-03675,Building Permit,Issued,1/14/2019,"Residential | Addition/Alteration
| 4","1610 M L KING JR Way, BERKELEY, CA 94709",195000,"058
216601000",,,"Remodel existing single family home and add 100sq ft. Replace all electrical, plumbing & Mechanical systems."
