Permit.Number,Status,Date.Issued,Building.Type,Work.Type,StreetNumber,StreetName,StreetType,Valuation,Work.Description,Property.Address
B2003-03513,,,Residential,Alteration,2240,PRINCE,ST,4000.0,"REMOVE (E) 2ND FLOOR SUNROOM, MOVE (E) WINDOW. REPAIR DRYROT @ PORCH FRAMING.","2240 PRINCE ST, Berkeley, CA"
B2003-04623,Issued,07/26/2016,Residential,Addition/Alteration,2670,PARKER,ST,40918.0,"Raise 2 story house to create garage and storage at ground level
On 10/08/19 renewed permit B2003-04623 - new exp 09/23/20 [Permits expired. Per David Lopez, no further permit extensions. Will need to apply for a new permit per inspector's note J.J. from 9/27/2022]","2670 PARKER ST, Berkeley, CA"
B2007-04188,,,Residential,Alteration,1740,WALNUT,ST,0.0,"UNITS 2 & 7 - ADD LIGHTS, SWITCHES, OUTLETS AND SUBPANEL CONVERSION TO CIRCUIT BREAKERS.","1740 WALNUT ST, Berkeley, CA"
B2008-05460,,,Residential,Alteration,1545,HOPKINS,ST,65000.0,"8/7/18 - MEP's issued for bathroom upgrades per plans
SEISMIC UPGRADES TO SOFT STORY BUILDING","1545 HOPKINS ST, Berkeley, CA"
B2009-03179,,,Residential,Addition,977,REGAL,RD,200000.0,"** WUI FIRE ZONE 2 - MUST COMPLY WITH ALL RESTRICTIONS IN FIRE ZONE. UPGRADE FOUNDATION. REPLACE FRONT PORCH AND STAIRS,INTERIOR STAIRS FROM 1ST THROUGHT 3RD FLOORS CHANGED. REMODEL AND ADD 503 S.F.","977 REGAL RD, Berkeley, CA"
B2009-04743,Issued,02/03/2016,Residential,Addition,1636,MILVIA,ST,41000.0,200 SQFT ADDITION OF A BEDROOM @ REAR OF PROPERTY WITH A NEW ATTACHED DECK.,"1636 MILVIA ST, Berkeley, CA"
B2010-01737,,,Residential,Addition,2615,ETNA,ST,61369.0,305 SQFT TWO-STORY ADDITION: 198 SQFT ADDED TO 1ST FLOOR AND 107 SQFT TO 2ND FLOOR. REMODEL EXISTING KITCHEN & POWDER ROOM AND CONSTRUCT BATHROOM WITHIN EXISTING FOOTPRINT.,"2615 ETNA ST, Berkeley, CA"
B2013-02910,,,Residential,Addition,1020,ADDISON,ST,240000.0,HOUSE LIFT & ADDITION OF BOTTOM FLOOR (1530 SF),"1020 ADDISON ST, Berkeley, CA"
B2013-05175,Issued,11/28/2016,Residential,New,1499,UNIVERSITY,AVE,3350000.0,"** NEW 3 STORY BUILDING, R-1/S-2/A-1 OCCUPANCY, 39 ROOM HOTEL AND PARKING, INCL MEP.
Fourth Application Extension to 5/12/16.  There will be NO MORE Application Extensions per PAJ. Elect and Plumb Contractors added permits for project.

Revision 01: Addition of a roof top deck for the exclusive use of hotel guests.  The open air deck is 1,862 square feet the added roof deck is approved under Use Permit Modification: ZP 2017-0125","1499 UNIVERSITY AVE, Berkeley, CA"
B2014-01391,,,Residential,New,1471,SCENIC,AVE,300000.0,"NEW SINGLE FAMILY DWELLING W/ATTACHED ACCESSORY DWELLING UNIT. TOTAL 4310 SQFT

8/3/17 - ELEC & MECH ISSUED","1471 SCENIC AVE, Berkeley, CA"
B2014-02827,Issued,08/10/2017,Residential,Alteration,680,CRAGMONT,AVE,277500.0,"Replace foundation of entire house, demo & remodel 1st & 2nd floors, demo & rebuild attached garage. 
All trades have been extended to expire 05/21/2019.","680 CRAGMONT AVE, Berkeley, CA"
B2014-02947,Issued,01/13/2021,Residential,Addition,2031,PRINCE,ST,300000.0,"RAISE EXISTING HOUSE THREE (3) FEET. CREATION OF NEW UNIT- 1260 S.F., ADDITION TO EXISTING - 380 & KITCHEN REMODEL. TOTAL NEW S.F. 1640
***Bldg and MEP's all expire on 11/18/2020.***11/16/2020 - New Expiration 11/18/2021
**Revision 01 to Change the water heater from gas to electric. No increase in valuation.","2031 PRINCE ST, Berkeley, CA"
B2014-02981,,,Residential,Alteration,596,GRIZZLY PEAK,BLVD,15000.0,"SEISMIC RETROFIT, NOT FOR TRANSFER TAX.","596 GRIZZLY PEAK BLVD, Berkeley, CA"
B2014-04894,,,Residential,Addition/Alteration,2434,M L KING JR,WAY,400000.0,"EMERGENCY REPAIR/REBUILD DUE TO FIRE DAMAGE INCLUDES ROOF, PORCH, ATTIC AND BASEMENT EXCAVATION, FOUNDATON REPLACM. LOWER HEIGHT AT CRIPPLE WALLS BY 18"".

**Revision submitted Detail 9 on Sheet S3 revised to match (e) conditions & previously approved architectural set w/attic framing detail. No increase in valuation

** 1st Extension for B,E,M,P's until 8-25-2018.","2434 M L KING JR WAY, Berkeley, CA"
B2014-05112-REV04,Issued,01/04/2022,Residential,Alteration,920,UNIVERSITY,AVE,0.0,Revision to complete window & PTAC replacement. Reduce roof form & parapet heights. Windows @ restaurant & remove pop out construction & foundation from original design. Provide format siding panels at corner tower. Accessibility upgrades for POT at the entry. No increase in valuation.,"920 UNIVERSITY AVE, Berkeley, CA"
B2014-05702,,,Residential,Alteration,2517,REGENT,ST,25000.0,"REPAIR EXISTING FIRE ESCAPE, FRONT STEPS AND RE-ROOF.","2517 REGENT ST, Berkeley, CA"
B2014-05752-REV03,Issued,05/05/2021,Mixed Use,New,1698,UNIVERSITY,AVE,8030000.0,Deferred Submittal: Shop drawings for Metal Handrails. No change in valuation.,"1698 UNIVERSITY AVE, Berkeley, CA"
B2014-05752-REV04,Issued,08/04/2021,Mixed Use,New,1698,UNIVERSITY,AVE,8030000.0,"The changes include: added details and plans for electrical service path and conduit penetrations, updates to the electrical room, details for the back-generator and trellis attachment, added low voltage and fire stop details, the addition of a standard smoke door in lieu of a fire curtain at the 1st floor.","1698 UNIVERSITY AVE, Berkeley, CA"
B2014-05786,Issued,01/21/2016,Residential,New,1808,UNIVERSITY,AVE,5900000.0,"**PHASE II: NEW 36,554 SQFT MIXED USE BLDG. (28,095 RES /2,996COMM /6,083 GARAGE), 44 D.U. SEE 14-2907 FOR PHASE I.","1808 UNIVERSITY AVE, Berkeley, CA"
B2014-05786,Issued,01/21/2016,Residential,New,1808,UNIVERSITY,AVE,5900000.0,"**PHASE II: NEW 36,554 SQFT MIXED USE BLDG. (28,095 RES /2,996COMM /6,083 GARAGE), 44 D.U. SEE 14-2907 FOR PHASE I.","1808 UNIVERSITY AVE, Berkeley, CA"
B2015-00694,Issued,11/29/2021,Residential,New,3020,SAN PABLO,AVE,2598748.0,"Phase II of III: Super Structure of New mixed-use 5 story bldg. podium building. framing and mechanical, plumbing and electrical work as scoped in Phae II. Phase I - B2014-05387; Phase III - B2015-01784, Demolition - B2012-03409","3020 SAN PABLO AVE, Berkeley, CA"
B2015-01763,,,Residential,Alteration,1548,TYLER,ST,52000.0,"INSTALL STRUCTURAL SHEAR WALLS, REINFORCE FOUNDATION TO COMPLIMENT SOFT SOTRY RETROFIT FOR REMOVAL FROM THE INVENTORY OF SOFT STORY BUILDINGS.","1548 TYLER ST, Berkeley, CA"
B2015-01779-REV01,,,Residential,Addition,647,SANTA ROSA,AVE,100000.0,,"647 SANTA ROSA AVE, Berkeley, CA"
B2015-02995,Issued,06/27/2018,Residential,Alteration,2131,UNIVERSITY,AVE,7836870.0,"ACHESON BLDG A: REHABILITATION OF AN EXISTING 24429 SFT, 4 STORY LANDMARKED BUILDING TO A MIXED USE: 37 RESIDENTIAL UNITS ON 2ND THROUGH
4TH FLOORS. AND COMMERCIAL FIRST FLOOR SPACES FOR  FUTURE TENANT IMPROVEMENTS.","2131 UNIVERSITY AVE, Berkeley, CA"
B2015-02995-DEF07,Issued,01/25/2021,Residential,Alteration,2131,UNIVERSITY,AVE,0.0,"Deferred submittal for Elevator Equipment, Guardrail & Connections at Building A. No increase in valuation.","2131 UNIVERSITY AVE, Berkeley, CA"
B2015-02998,Issued,06/27/2018,Mixed Use,New,2145,UNIVERSITY,AVE,10600654.0,"ACHESON BLDG B: NEW 6 STORY, 32,673 SFT. BUILDING, TYPE IIIA OVER IA, WITH 35 NEW RESIDENTIAL UNITS (2ND- 6TH FL) AND NEW COMMERCIAL FIRST FLOOR. EXISTING EXTERIOR FACADES RETAINED AS HISTORICAL CHARACTER DEFINING ELEMENTS OF DEMOLISHED EXISTING LANDMARKED STRUCTURE.","2145 UNIVERSITY AVE, Berkeley, CA"
B2015-02998-DEF03,Issued,06/04/2021,Mixed Use,New,2145,UNIVERSITY,AVE,10600654.0,"This is an elevators, elevator equipment & connections deferred submittal for Acheson Building B (1924 Walnut St. Berkeley, CA). 
- Submittal #97 
- Submittal #97.1.  No change in valuation.","2145 UNIVERSITY AVE, Berkeley, CA"
B2015-02998-DEF04,Issued,08/10/2021,Mixed Use,New,2145,UNIVERSITY,AVE,0.0,Post tension deferred submittal for Acheson Building B. No increase in valuation.,"2145 UNIVERSITY AVE, Berkeley, CA"
B2015-02998-DEF06,Issued,08/10/2021,Mixed Use,New,2145,UNIVERSITY,AVE,0.0,"This is an Exterior Building Maintenance System deferred submittal for Acheson Building B (1924 Walnut St. Berkeley, CA). No increase in valuation.","2145 UNIVERSITY AVE, Berkeley, CA"
B2015-02998-DEF07,Issued,09/26/2022,Mixed Use,New,2145,UNIVERSITY,AVE,10600654.0,"Stair and associated connections deferred submittal for Acheson Building B (1924 Walnut St. Berkeley, CA). No increase in valuation.","2145 UNIVERSITY AVE, Berkeley, CA"
B2015-02998-DEF08,Issued,09/26/2022,Mixed Use,New,2145,UNIVERSITY,AVE,10600654.0,"This is an expansion joint deferred submittal for Acheson Building B (1924 Walnut St. Berkeley, CA).","2145 UNIVERSITY AVE, Berkeley, CA"
B2015-02998-DEF10,Issued,05/05/2022,Mixed Use,New,2145,UNIVERSITY,AVE,10600654.0,"This is a railing & canopy deferred submittal for Acheson Building B (1924 Walnut St. Berkeley, CA).","2145 UNIVERSITY AVE, Berkeley, CA"
B2015-02998-DEF11,Issued,04/01/2022,Mixed Use,New,2145,UNIVERSITY,AVE,10600654.0,"This is an Amazon Locker Attachment deferred submittal for Acheson Building B (1924 Walnut St. Berkeley, CA). No change in valuation.","2145 UNIVERSITY AVE, Berkeley, CA"
B2015-02998-REV05,Issued,04/22/2021,Mixed Use,New,2145,UNIVERSITY,AVE,10600654.0,Temporary Egress Protection during construction of Bldg. B - 2145 University which serves Building A - 2131 University.,"2145 UNIVERSITY AVE, Berkeley, CA"
B2015-02998-REV09,Issued,03/25/2022,Mixed Use,Addition/Alteration,2145,UNIVERSITY,AVE,10600654.0,New opening between Building A and B.,"2145 UNIVERSITY AVE, Berkeley, CA"
B2015-03000,Issued,06/27/2018,Residential,New,1900,WALNUT,ST,15693825.0,"""ACHESON COMMONS"" - BUILDING ""C"": (N) 82,740 SFT, 65 RES. UNIT, 6 STORY, TYPE III-A SPRINKLERED OVER TYPE I-A SPRINKLERED RESIDENTIAL PODIUM BUILDING WITH PARKING AT GRADE AND BASEMENT.","1900 WALNUT ST, Berkeley, CA"
B2015-03000-DEF04,Issued,09/26/2022,Residential,New,1900,WALNUT,ST,15693825.0,"Deferred submittal for elevators, elevator equipment & connections. No change in valuation.","1900 WALNUT ST, Berkeley, CA"
B2015-03000-DEF05,Issued,09/26/2022,Residential,New,1900,WALNUT,ST,15693825.0,Deferred submittal for  post-tension shop drawings for Building  C.,"1900 WALNUT ST, Berkeley, CA"
B2015-03000-DEF06,Issued,09/26/2022,Residential,New,1900,WALNUT,ST,15693825.0,"stair and stair connections deferred submittal for Acheson Building C (1922 Walnut St. Berkeley, CA).","1900 WALNUT ST, Berkeley, CA"
B2015-03000-DEF08,Issued,06/23/2021,Residential,New,1900,WALNUT,ST,15693825.0,Deferred Submittal for Roof Trusses.  No change in valuation.,"1900 WALNUT ST, Berkeley, CA"
B2015-03000-DEF09,Issued,09/26/2022,Residential,New,1900,WALNUT,ST,15693825.0,"metal vehicular gates & guardrail/handrail deferred submittal for Acheson Building C (1922 Walnut St. Berkeley, CA).","1900 WALNUT ST, Berkeley, CA"
B2015-03000-DEF11,Issued,06/09/2022,Residential,New,1900,WALNUT,ST,15693825.0,"Exterior Building Maintenance System deferred submittal for Acheson Building C (1922 Walnut St. Berkeley, CA).","1900 WALNUT ST, Berkeley, CA"
B2015-03000-DEF12,Issued,04/06/2022,Residential,New,1900,WALNUT,ST,15693825.0,"Visual and Audible Alert System for the Garage Entrances deferred submittal for Acheson Building C (1922 Walnut St. Berkeley, CA).","1900 WALNUT ST, Berkeley, CA"
B2015-03000-REV03,Issued,04/22/2021,Residential,New,1900,WALNUT,ST,15693825.0,Temporary Egress Protection during construction of Bldg. C - 3000 Walnut which serves Building A - 2131 University.,"1900 WALNUT ST, Berkeley, CA"
B2015-03000-REV14,Issued,09/26/2022,Residential,New,1900,WALNUT,ST,15693825.0,Revised / redirected exit access path of travel out of garage to the south side of the garage instead of north.  No change in valuation.,"1900 WALNUT ST, Berkeley, CA"
B2015-03005,Issued,06/27/2018,Residential,New,2111,UNIVERSITY,AVE,16232684.0,"ACHESON BLDG D: NEW 6 STORY 67,558 SFT  BUILDING, TYPE IIIA OVER IA, WITH 68 NEW RESIDENTIAL UNITS (2ND- 6TH FL) AND NEW COMMERCIAL FIRST FLOOR. EXISTING STREET FACING FACADES RETAINED AS HISTORICAL CHARACTER DEFINING ELEMENTS OF DEMOLISHED EXISTING LANDMARKED STRUCTURE.","2111 UNIVERSITY AVE, Berkeley, CA"
B2015-03005-DEF07,Issued,07/21/2021,Residential,New,2111,UNIVERSITY,AVE,16232684.0,This  is a  metal stairs #1 & #2 embed/connection for Acheson Bldg D.  No change in valuation.,"2111 UNIVERSITY AVE, Berkeley, CA"
B2015-03005-DEF08,Issued,07/21/2021,Residential,New,2111,UNIVERSITY,AVE,16232684.0,Deferral for Post Tension for Bldg D - No change in valuation.,"2111 UNIVERSITY AVE, Berkeley, CA"
B2015-03005-DEF09,Issued,07/27/2021,Residential,New,2111,UNIVERSITY,AVE,16232684.0,This is an elevator deferred submittal for Acheson Building D (1987 Shattuck Ave./2111 University Ave.).,"2111 UNIVERSITY AVE, Berkeley, CA"
B2015-03005-DEF12,Issued,07/21/2021,Residential,New,2111,UNIVERSITY,AVE,16232684.0,This is an exterior building maintenance deferred submittal for Acheson Building D (1987 Shattuck Ave.- 2111 University Ave.).,"2111 UNIVERSITY AVE, Berkeley, CA"
B2015-03005-DEF13,Issued,09/27/2021,Residential,New,2111,UNIVERSITY,AVE,16232684.0,"Deferred submittal for handrails/guardrails, balcony railing & canopy. No increase in valuation.","2111 UNIVERSITY AVE, Berkeley, CA"
B2015-03005-DEF14,Issued,07/21/2021,Residential,New,2111,UNIVERSITY,AVE,16232684.0,This is an expansion joint deferred submittal for Acheson Building D (1987 Shattuck Ave.- 2111 University Ave.).  No change in valuation.,"2111 UNIVERSITY AVE, Berkeley, CA"
B2015-03005-REV03,Issued,09/27/2021,Residential,New,2111,UNIVERSITY,AVE,16232684.0,"Revised egress plan calculations to omit the use of 2013 CBC 1005.3.1 Exception 2, and 1005.3.2 Exception one. No change in valuation.","2111 UNIVERSITY AVE, Berkeley, CA"
B2015-03005-REV10,Issued,06/22/2021,Residential,New,2111,UNIVERSITY,AVE,16232684.0,Eliminate a grease duct; revise other grease ducts to use fire wrap in lieu of steel stud construction.   No change in valuation.,"2111 UNIVERSITY AVE, Berkeley, CA"
B2015-03005-REV11,Issued,06/28/2021,Residential,New,2111,UNIVERSITY,AVE,16232684.0,Minor changes to ground floor.,"2111 UNIVERSITY AVE, Berkeley, CA"
B2015-04522,Issued,03/23/2017,Residential,New,2127,RUSSELL,ST,151778.0,"** 1st Ext. from March 17, 2018 to March 17, 2019. Bldg only.

CONSTRUCTION OF THE FIRST OF TWO (N) DETACHED TWO-STORY HOUSES W/ATTACHED GARAGE ON VACANT LOT (1366 SQ.FT)","2127 RUSSELL ST, Berkeley, CA"
B2015-04522-REV01,Issued,12/21/2017,Residential,New,2127,RUSSELL,ST,151778.0,Retrofit of missing or incorrectly place holdowns.  No Change in valuation.,"2127 RUSSELL ST, Berkeley, CA"
B2015-04523,Issued,03/23/2017,Residential,New,2127,RUSSELL,ST,248222.0,"** 1st Ext. from March 17, 2018 to March 17, 2019. Bldg only.

CONSTRUCTION OF SECOND OF TWO (N) DETACHED TWO-STORY HOUSES W/ATTACHED GARAGE ON (E) VACANT LOT. (2214 SQ.FT)","2127 RUSSELL ST, Berkeley, CA"
B2015-05739,Issued,03/30/2016,Residential,Alteration,1235,KAINS,AVE,40000.0,"**178SQFT ADDITION, NEW BATH, STAIRS & REAR ENTRY. REMODEL KITCHEN.","1235 KAINS AVE, Berkeley, CA"
B2015-05975-DEF01,,,Residential,Alteration,1118,CARLETON,ST,1000.0,,"1118 CARLETON ST, Berkeley, CA"
B2016-00895,Issued,08/10/2017,Mixed Use,New,2035,BLAKE,St,15800000.0,"New Construction 5-story (82) residential units and 1 ground floor retail space, with 63 underground parking spaces. Total of 86,144 sq ft.
**July 12, 2018, Developer, Michael, paid $200. for the 1st extension..new permit extension date is 8-10-2019.**","2035 BLAKE St, Berkeley, CA"
B2016-00895-DEF06,Issued,10/05/2021,Mixed Use,New,2035,BLAKE,St,15800000.0,Deferred submittal for steel awnings. No Increase in valuation.,"2035 BLAKE St, Berkeley, CA"
B2016-00895-DEF07,Issued,10/05/2021,Mixed Use,New,2035,BLAKE,St,0.0,Deferred submittal for anchor tie down system (ATS). No Increase in valuation.,"2035 BLAKE St, Berkeley, CA"
B2016-00895-DEF08,Issued,10/05/2021,Mixed Use,New,2035,BLAKE,St,15800000.0,Deferred submittal for engineered lumber. No Increase in valuation.,"2035 BLAKE St, Berkeley, CA"
B2016-00895-DEF09,Issued,10/27/2021,Mixed Use,New,2035,BLAKE,St,15800000.0,Deferred submittal for metal stairs. No increase in valuation.,"2035 BLAKE St, Berkeley, CA"
B2016-00895-REV04,Issued,03/09/2021,Mixed Use,New,2035,BLAKE,St,15800000.0,Card readers added and removed from specified doors. Blade sign added to south facade of building. No valuation change.,"2035 BLAKE St, Berkeley, CA"
B2016-00895-REV05,Issued,09/15/2021,Mixed Use,New,2035,BLAKE,St,15800000.0,"Removal of ""Shaft separation"" at retail shaft; replacement of standard grease shaft with 2HR rated zero clearance type shaft.  No change in valuation.","2035 BLAKE St, Berkeley, CA"
B2016-00895-REV10,Issued,12/30/2021,Mixed Use,New,2035,BLAKE,St,15800000.0,ERRC added to west side of building.,"2035 BLAKE St, Berkeley, CA"
B2016-00895-REV11,Issued,12/13/2021,Mixed Use,New,2035,BLAKE,St,15800000.0,Bicycle corral is added at street frontage. Carshare parking is eliminated from basement.,"2035 BLAKE St, Berkeley, CA"
B2016-00895-REV12,Issued,04/11/2022,Mixed Use,New,2035,BLAKE,St,15800000.0,**Revision submitted for current partially accessible mailboxes are removed. New fully accessible mailboxes are installed in Lobby 119. No Increase in Valuation**,"2035 BLAKE St, Berkeley, CA"
B2016-01248,Issued,11/04/2016,Residential,Addition/Alteration,1211,JOSEPHINE,St,84000.0,"Repair foundations and slab. Interior remodel, add bathroom, of existing house. Add 144 S.F. to garage. 1st Permit Extension from November 4, 2016 to November 4, 2018. Owner added Mechanical permit.","1211 JOSEPHINE St, Berkeley, CA"
B2016-01782,Issued,04/15/2016,Residential,Alteration,1740,WALNUT,St,0.0,Install 60amp sub panel and new outlet and switches,"1740 WALNUT St, Berkeley, CA"
B2016-01797,Issued,05/09/2016,Residential,Alteration,1740,WALNUT,St,8000.0,"REPLACE TOILET, SINK, TUB, FAUCETS, & TILE SURROUND","1740 WALNUT St, Berkeley, CA"
B2016-01907,Issued,07/18/2016,Residential,Addition/Alteration,2430,PIEDMONT,Ave,150000.0,"Voluntary seismic upgrade with shear walls + grade beams in basement. re-build porch and deck in kind.
On 10/08/19 subsequent permit renewal was processed - 2 years worth of extensions to bring current - new exp 07/18/20.","2430 PIEDMONT Ave, Berkeley, CA"
B2016-01957,Issued,06/09/2016,Residential,Alteration,2727,CHANNING,Way,70000.0,"Replace front deck and stairs, replace and code upgrades to railing at roof deck, remove (E) hot tub and level out the floor, paving improvements in parking lot, front lower patio paving and railing replacement.","2727 CHANNING Way, Berkeley, CA"
B2016-02041,Issued,09/05/2017,Residential,Addition/Alteration,2932,HARPER,St,28000.0,Conversion of (E) rear shed to habitable studio (242 SQ Ft) with 1/2 bath.,"2932 HARPER St, Berkeley, CA"
B2016-02230,Issued,11/07/2016,Residential,New,2421,NINTH,St,190000.0,Construct new single family dwelling,"2421 NINTH St, Berkeley, CA"
B2016-02496,Issued,06/21/2016,Residential,Alteration,2970,OTIS,St,0.0,Reroute main service over new concrete footing,"2970 OTIS St, Berkeley, CA"
B2016-03022,Issued,11/14/2016,Residential,Addition/Alteration,2020,KITTREDGE,St,50000.0,"10/19/17 - Change in contractors.  See letters in documents. 

Tiedown Re-tightening in 88 units on second and third floors only. Access holes will be cut in order to access tiedown rods.","2020 KITTREDGE St, Berkeley, CA"
B2016-03022-REV01,Issued,10/27/2021,Residential,Addition/Alteration,2020,KITTREDGE,St,50000.0,Revision to discontinue the voluntary Tie Down tightening program. No increase in valuation.,"2020 KITTREDGE St, Berkeley, CA"
B2016-03067,Issued,01/10/2017,Residential,New,524,CRAGMONT,Ave,763500.0,"New 3054 sq. ft. Single Family Residence. Replace a fire damaged SFD. Removal of damaged structure under separate Demo Permit
** Second Extension for B,E,M,Ps to 1-10-2020 paid**","524 CRAGMONT Ave, Berkeley, CA"
B2016-03067-DEF01,,,Residential,New,524,CRAGMONT,Ave,763500.0,,"524 CRAGMONT Ave, Berkeley, CA"
B2016-03067-DEF02,,,Residential,New,524,CRAGMONT,Ave,763500.0,,"524 CRAGMONT Ave, Berkeley, CA"
B2016-03067-DEF03,,,Residential,New,524,CRAGMONT,Ave,763500.0,,"524 CRAGMONT Ave, Berkeley, CA"
B2016-03067-DEF04,,,Residential,New,524,CRAGMONT,Ave,763500.0,,"524 CRAGMONT Ave, Berkeley, CA"
B2016-03067-REV05,Issued,08/28/2017,Residential,New,524,CRAGMONT,Ave,763500.0,"Per Warning Letter - must submit Revised plans for grading as well as securing fence on property, tree protection, provide drip line, and sediment barriers","524 CRAGMONT Ave, Berkeley, CA"
B2016-03067-REV06,Issued,02/15/2018,Residential,New,524,CRAGMONT,Ave,763500.0,Foundation to piers.  Voluntary upgrade from footing to piers.  No Change in valuation.,"524 CRAGMONT Ave, Berkeley, CA"
B2016-03149,Issued,11/14/2017,Residential,Addition/Alteration,3090,KING,St,120000.0,Add 806 sq ft under lifted and relocated cottage,"3090 KING St, Berkeley, CA"
B2016-03312,Issued,04/19/2017,Residential,Addition/Alteration,1460,DWIGHT,Way,150000.0,"Addition- new bedroom, bathrooms, and remodel existing kitchen & bedroom extensions","1460 DWIGHT Way, Berkeley, CA"
B2016-03312-REV03,Issued,10/25/2021,Residential,Addition/Alteration,1460,DWIGHT,Way,150000.0,Add a sink to the roof deck.,"1460 DWIGHT Way, Berkeley, CA"
