"Permit.Number","Permit.Type","Status","Date.Issued","Sub.Type","Property.Address","Valuation","APN","Contractor.s.Name","Contractor.s.Address","Work.Description"
"B2019-03350","Building Permit","Issued","4/2/2020","Residential | Alteration | 4","1316 MILVIA St, BERKELEY, CA 94709","120000.00","060
245100900","","","Convert 466 SqFt garage into an Accessory Dwelling Unit."
"B2019-03607","Building Permit","Issued","4/2/2020","Residential | Alteration | 1","2565 BUENA VISTA Way, BERKELEY, CA 94708","60000","058
224401200","AVILA GROUP CONSTRUCTION CO LLC","5111 TELEGRAPH AVE # 314, OAKLAND, CA, CA94609-1925","Add new code conforming bedroom & bathroom in existing basement. Install new window & replace existing patio door.  Fire zone 2"
"B2019-04323","Building Permit","Finaled","4/17/2020","Residential | Alteration | 1","1014 OXFORD St,
BERKELEY, CA 94707","20000","061
258701900","","","Building (N) deck over footing & foundation wall of previous deck appx 16'x18' w/steps.  Must Comply with Fire Zone 2 Requirements."
"B2019-05230","Building Permit","Issued","4/28/2020","Residential | Alteration | 1","1839 BERKELEY Way,
BERKELEY, CA 94703","65000","057
206300700","TERRA-SOL DESIGN BUILDERS","25198 MUIR ST APT 5, HAYWARD, CA, CA94544-2352","Engineered seismic retrofit & foundation replacement for transfer tax rebate
Revised scope of work to include basement renovation, include storage space, 1/2 bathroom and laundry area. Basement shall not be conditioned. Valuation increased to $65,000."
"B2019-05417","Building Permit","Issued","4/6/2020","Residential | Alteration | 1","1925 HOPKINS St,
BERKELEY, CA 94707","25000","061
256900900","A M GREEN CONSTRUCTION","2721 SHATTUCK AVE # 225, BERKELEY, CA, CA94705-1008","42 sq ft addition  - enclosing existing front porch to create a mudroom and expanding rear deck. - please see permit number B2019-05420 for garage conversion into ADU.  One set of plans for both.
Fire zone 2"
"B2019-05420","Building Permit","Issued","4/6/2020","Residential | Alteration | 4","1925 HOPKINS St,
BERKELEY, CA 94707","85000","061
256900900","A M GREEN CONSTRUCTION","2721 SHATTUCK AVE # 225, BERKELEY, CA, CA94705-1008","Convert Garage to ADU 480 sq ft - See Permit number B2019-05417 for house remodel.  One set of plans for both.  Fire zone 2"
"B2019-05438","Building Permit","Issued","4/7/2020","Residential | Alteration | 1","1526 SIXTH St, BERKELEY, CA 94710","0","059
231502700","","","Install 12.6 KW PV solar panels (35 modules) on the roof. ****business license shows expired."
"B2019-05514","Building Permit","Issued","4/17/2020","Residential | Addition/Alteration
| 4","1912 YOLO Ave,
BERKELEY, CA 94707","100000","060
244900300","ROY TRILLIA","1907 YOLO AVE, BERKELEY, CA, CA94707-2613","Remodel and Addition. 4/13/2020: Revised to eliminate ADU; ADU to be under separate permit."
"B2019-05523","Building Permit","Issued","4/9/2020","Residential | Addition/Alteration
| 4","1410 PERALTA Ave,
BERKELEY, CA 94702","680000","060
241704200","HOLLAND & HARLEY CONSTRUCTION","702 F HARRISON ST., BERKELEY, CA, CA94710","Residential remodel and 1,355 SF addition, remodel
(E) kitchen and bath, replace windows, replace HVAC, repair front porch, landscape and related site improvements."
"B2019-05615","Building Permit","Issued","4/1/2020","Residential | Addition/Alteration
| 4","1036 SIERRA St,
BERKELEY, CA 94707","255000","061
261801000","","","486sf addition; reconfigure floor plan and modify and replacement of roof structure."
"B2020-00059","Building Permit","Issued","4/9/2020","Residential | Addition/Alteration
| 4","1132 AMADOR Ave,
BERKELEY, CA 94707","100000","061
256200700","","","Add accessory dwelling unit to walk-out basement. Excavate to provide required ceiling height and replace foundations.  Fire zone 2"
"B2020-00609","Building Permit","Issued","4/6/2020","Commercial | Alteration | 3","2910 SEVENTH St,
BERKELEY, CA 94710","275000","053
164400100","","","Voluntary Seismic retrofit"
"B2020-00714","Building Permit","Issued","4/9/2020","Residential | Alteration | 0","868 ARLINGTON Ave,
BERKELEY, CA 94707","0","061
257700200","SUNRUN INSTALLATION SERVICES, INC","775 FIERO LN STE 200, SN LUIS OBISP, CA, CA93401-7904","Install 7.6 KW PV solar panels (18 modules) on the roof with new 100 AMP subpanel & 5.0 KW Energy Storage System & Backup Battery. Fire Zone 2 Property."
"B2020-00737","Building Permit","Issued","4/14/2020","Residential | Alteration | 0","612 SANTA ROSA Ave, BERKELEY, CA 94707","9893.76","062
289200300","","","This seismic retrofit is in accordance with CEBC Chapter A3 and has an accepted Standard Plan Set A per engineer. For EBB Program. Work qualifies for Seismic Transfer Tax Reduction.  Must Comply with Fire Zone 2 Requirements."
"B2020-00797","Building Permit","Issued","4/9/2020","Residential | Demolition | 1","1423 STANNAGE Ave,
BERKELEY, CA 94702","1000","060
239801300","","","Demo existing 177sqft accessory building (existing garage) (no utilities)"
"B2020-00836","Building Permit","Issued","4/9/2020","Residential | Alteration | 0","2064 LOS ANGELES Ave, BERKELEY, CA 94707","25524.00","061
255900200","","","Remove & replace ten (10) windows & one (1) french door, same sizes & locations. Fire Zone 2 Property."
"B2020-00898","Building Permit","Issued","4/9/2020","Residential | Alteration | 1","1400 OXFORD St,
BERKELEY, CA 94709","10000","059
225800400","","","Convert chimney to storage area per plans.."
"B2020-00899","Building Permit","Issued","4/9/2020","Residential | Alteration | 0","199 FOREST Ln,
BERKELEY, CA 94708","9603","063
296402900","","","Engineered seismic retrofit per chapter A-3 for transfer tax rebate.  Must Comply with Fire Zone 2 Requirements."
"B2020-00900","Building Permit","Issued","4/6/2020","Residential | Alteration | 0","920 GRIZZLY PEAK Blvd, BERKELEY, CA 94708","29603","063
296402900","","","Engineered seismic retrofit per Chapter A-3 for transfer tax rebate.  Must Comply with Fire Zone 2 Requirements."
"B2020-00954","Building Permit","Issued","4/30/2020","Residential | Alteration | 1","2003 PRINCE St,
BERKELEY, CA 94703","70000","053
159401200","","","Interior remodel in units A & B, including window replacements."
"B2020-00964","Building Permit","Issued","4/2/2020","Residential | Alteration | 0","1756 CAPISTRANO Ave,
BERKELEY, CA 94707","0","062
288602500","SUNRUN INSTALLATION SERVICES, INC","225 BUSH STREET STE 1400, SAN FRANCISCO, CA, CA94104","Install 7.6 KW PV solar panels (23 modules) on the roof with a new 100 AMP subpanel, 5.0 KW Energy Storage System with a Backup Battery."
"B2020-00965","Building Permit","Issued","4/9/2020","Residential | Alteration | 0","3016 DEAKIN St,
BERKELEY, CA 94705","35000","052
158300800","","","Voluntary Seismic Retrofit for ""Transfer Tax Rebate"""
"B2020-00967","Building Permit","Issued","4/28/2020","Residential | Alteration | 1","2640 STUART St,
BERKELEY, CA 94705","30000","053
169502900","","","Kitchen remodel, remove wall between kitchen and living room.  Stucco and roof repair to residence over garage."
"B2020-01061","Building Permit","Issued","4/9/2020","Residential | Alteration | 0","1554 STANNAGE Ave,
BERKELEY, CA 94702","2282.00","059
228800400","HOME DEPOT USA INC.","PO BOX 105465, ATLANTA, GA, GA30348-5465","Remove & replace two (2) windows, same sizes & locations."
"B2020-01099","Building Permit","Finaled","4/2/2020","Residential | Alteration | 0","1949 HOPKINS St,
BERKELEY, CA 94707","0","061
256900300","A 1 SUN INC","2015 YOLO AVE, BERKELEY, CA, CA94707-2615","Install 4.2 KW PV solar panels (12 modules) on the roof to existing system. Fire Zone 2 Property."
"B2020-01113","Building Permit","Issued","4/7/2020","Residential | Alteration | 0","1042 KEITH Ave,
BERKELEY, CA 94708","30000.00","061
255502901","TESLA ENERGY OPERATIONS","901 PAGE AVE, FREMONT, CA, CA94538-7341","Remove existing roof & install 7.19 KW solar roof. Fire Zone 2 Property."
